ID,Requirement Name,Requirement Text,Activity Name,Activity Verbs,Activity Nouns,VerbNoun Score,Similarity Score,Combined Score
F.14,F.14 Remote Monitoring,"The system shall provide remote monitoring capabilities with a data refresh rate of no more than 1 second, allowing ground-based operators to oversee system operations in real-time, with at least 99% uptime",2.1.4.2 Coordinate Remote Repair Support (Ground-based intervention),"coordinate, base","remote, repair, support, ground, intervention",0.45,0.625,0.537
F.14,F.14 Remote Monitoring,"The system shall provide remote monitoring capabilities with a data refresh rate of no more than 1 second, allowing ground-based operators to oversee system operations in real-time, with at least 99% uptime",7.1.7 Provide Structural Surface,provide,surface,0.5,0.517,0.509
F.14,F.14 Remote Monitoring,"The system shall provide remote monitoring capabilities with a data refresh rate of no more than 1 second, allowing ground-based operators to oversee system operations in real-time, with at least 99% uptime",2.3.4 Provide Local Heating,provide,heating,0.5,0.492,0.496
F.14,F.14 Remote Monitoring,"The system shall provide remote monitoring capabilities with a data refresh rate of no more than 1 second, allowing ground-based operators to oversee system operations in real-time, with at least 99% uptime",1.2.5 Transmit Data to Ground Control,transmit,"data, ground, control",0.333,0.584,0.459
F.14,F.14 Remote Monitoring,"The system shall provide remote monitoring capabilities with a data refresh rate of no more than 1 second, allowing ground-based operators to oversee system operations in real-time, with at least 99% uptime",1.2.5.4 Amplify Low Rate Transmission,amplify,"rate, transmission",0.25,0.561,0.406
F.13,F.13 Automated Inspection,The system shall perform automated inspections of manufactured products to ensure compliance with quality standards.,4.2.5 Store Manufactured Product,manufacture,"store, product",0.75,0.396,0.573
F.12,F.12 Process Optimization,The system shall implement process optimization algorithms that improve manufacturing efficiency by at least 15% and reduce product defects to less than 2% of total production,3.3.2 Implement Collision Avoidance Maneuvers,implement,"collision, avoidance, maneuver",0.5,0.635,0.567
F.12,F.12 Process Optimization,The system shall implement process optimization algorithms that improve manufacturing efficiency by at least 15% and reduce product defects to less than 2% of total production,1.2.2 Analyze Production Efficiency,analyze,"production, efficiency",0.5,0.488,0.494
F.12,F.12 Process Optimization,The system shall implement process optimization algorithms that improve manufacturing efficiency by at least 15% and reduce product defects to less than 2% of total production,6.2.3 Generate Optimization Suggestions (Autonomous optimization algorithms),generate,"optimization, suggestion, optimization, algorithm",0.375,0.611,0.493
F.12,F.12 Process Optimization,The system shall implement process optimization algorithms that improve manufacturing efficiency by at least 15% and reduce product defects to less than 2% of total production,3.1.3 Implement Policy Changes,implement,"policy, change",0.5,0.483,0.492
F.12,F.12 Process Optimization,The system shall implement process optimization algorithms that improve manufacturing efficiency by at least 15% and reduce product defects to less than 2% of total production,1.1.7.2 Detect Defects,detect,defect,0.5,0.462,0.481
F.11,F.11 Emergency Procedures,The system shall have automated emergency shutdown and safing procedures that can be initiated within 60 seconds of detecting a critical anomaly.,1.2.3 Detect Production Anomalies,detect,"production, anomaly",0.75,0.482,0.616
F.11,F.11 Emergency Procedures,The system shall have automated emergency shutdown and safing procedures that can be initiated within 60 seconds of detecting a critical anomaly.,5.1.1 Initiate System Restarts,initiate,"system, restart",0.75,0.429,0.59
F.11,F.11 Emergency Procedures,The system shall have automated emergency shutdown and safing procedures that can be initiated within 60 seconds of detecting a critical anomaly.,3.2.1 Detect Safety Hazards (Autonomous hazard detection),detect,"safety, hazard, hazard, detection",0.5,0.628,0.564
F.11,F.11 Emergency Procedures,The system shall have automated emergency shutdown and safing procedures that can be initiated within 60 seconds of detecting a critical anomaly.,3.1.2 Report Safety Incidents (Automated logging and reporting),automate,"report, safety, incident, logging, reporting",0.5,0.601,0.551
F.11,F.11 Emergency Procedures,The system shall have automated emergency shutdown and safing procedures that can be initiated within 60 seconds of detecting a critical anomaly.,2.1.4.1 Initiate Autonomous Repairs (Remote or autonomous actions),initiate,"repair, action",0.5,0.556,0.528
F.10,F.10 Data Security,"The system shall implement encryption and secure data transmission protocols for all data exchanges between the orbital platform and ground stations, meeting or exceeding current industry standards for data security.",3.3.2 Implement Collision Avoidance Maneuvers,implement,"collision, avoidance, maneuver",0.5,0.623,0.562
F.10,F.10 Data Security,"The system shall implement encryption and secure data transmission protocols for all data exchanges between the orbital platform and ground stations, meeting or exceeding current industry standards for data security.",3.1.3 Implement Policy Changes,implement,"policy, change",0.5,0.439,0.469
F.8,F.8 Waste Management,"The system shall incorporate waste management capabilities, including the ability to recycle at least 50% of waste materials generated during the manufacturing process.",6.2.3 Generate Optimization Suggestions (Autonomous optimization algorithms),generate,"optimization, suggestion, optimization, algorithm",0.5,0.597,0.548
F.8,F.8 Waste Management,"The system shall incorporate waste management capabilities, including the ability to recycle at least 50% of waste materials generated during the manufacturing process.",1.2.4 Generate Production Reports,generate,"production, report",0.5,0.434,0.467
F.8,F.8 Waste Management,"The system shall incorporate waste management capabilities, including the ability to recycle at least 50% of waste materials generated during the manufacturing process.",2.2.1 Generate Solar Power,generate,"solar, power",0.5,0.426,0.463
F.7,F.7 Timeliness,The system shall ensure timely execution of manufacturing processes and respond promptly to operational commands and events.,5.2.1 Receive Remote Commands,receive,command,0.5,0.413,0.457
F.7,F.7 Timeliness,The system shall ensure timely execution of manufacturing processes and respond promptly to operational commands and events.,4.2.5 Store Manufactured Product,manufacture,"store, product",0.5,0.362,0.431
F.6,F.6 Risk Management,"The system shall implement risk management strategies that reduce identified operational hazards by at least 90%, ensuring mission success, as verified through a risk assessment showing a reduction in risk exposure by 90% or more and achieving a residual risk level of less than 5% of the total risk exposure.",3.3.2 Implement Collision Avoidance Maneuvers,implement,"collision, avoidance, maneuver",0.5,0.59,0.545
F.6,F.6 Risk Management,"The system shall implement risk management strategies that reduce identified operational hazards by at least 90%, ensuring mission success, as verified through a risk assessment showing a reduction in risk exposure by 90% or more and achieving a residual risk level of less than 5% of the total risk exposure.",6.2.2 Identify Performance Bottlenecks,identify,"performance, bottleneck",0.5,0.538,0.519
F.6,F.6 Risk Management,"The system shall implement risk management strategies that reduce identified operational hazards by at least 90%, ensuring mission success, as verified through a risk assessment showing a reduction in risk exposure by 90% or more and achieving a residual risk level of less than 5% of the total risk exposure.",7.1.4 Verify Hardware Installation,verify,"hardware, installation",0.5,0.471,0.486
F.6,F.6 Risk Management,"The system shall implement risk management strategies that reduce identified operational hazards by at least 90%, ensuring mission success, as verified through a risk assessment showing a reduction in risk exposure by 90% or more and achieving a residual risk level of less than 5% of the total risk exposure.",7.2.4 Verify Software Installation,verify,"software, installation",0.5,0.461,0.48
F.6,F.6 Risk Management,"The system shall implement risk management strategies that reduce identified operational hazards by at least 90%, ensuring mission success, as verified through a risk assessment showing a reduction in risk exposure by 90% or more and achieving a residual risk level of less than 5% of the total risk exposure.",3.1.3 Implement Policy Changes,implement,"policy, change",0.5,0.452,0.476
F.4,F.4 Packaging and Storage,The system shall package and store completed ZBLAN fibers for return to Earth.,1.1.5 Cool/ Anneal Fiber,,fiber,0.5,0.49,0.495
F.3,F.3 Real-Time Monitoring,"The system shall monitor and adjust manufacturing parameters in real-time with a response time of less than 500 ms to maintain product quality, as verified through operational testing and quality control data.",8.1.1 Monitor Orbital Parameters,monitor,parameter,1.0,0.472,0.736
F.3,F.3 Real-Time Monitoring,"The system shall monitor and adjust manufacturing parameters in real-time with a response time of less than 500 ms to maintain product quality, as verified through operational testing and quality control data.",1.3.3 Adjust Manufacturing Parameters for Off-Nominal Conditions,adjust,"manufacturing, parameter, condition",0.833,0.624,0.729
F.3,F.3 Real-Time Monitoring,"The system shall monitor and adjust manufacturing parameters in real-time with a response time of less than 500 ms to maintain product quality, as verified through operational testing and quality control data.",1.1.7 Monitor Fiber Quality,monitor,"fiber, quality",0.75,0.481,0.616
F.3,F.3 Real-Time Monitoring,"The system shall monitor and adjust manufacturing parameters in real-time with a response time of less than 500 ms to maintain product quality, as verified through operational testing and quality control data.",3.3.1 Monitor Orbital Environment for Debris,monitor,"environment, debris",0.5,0.59,0.545
F.3,F.3 Real-Time Monitoring,"The system shall monitor and adjust manufacturing parameters in real-time with a response time of less than 500 ms to maintain product quality, as verified through operational testing and quality control data.",3.1.1 Monitor Safety Standards (Automated safety checks),monitor,"safety, standards, safety, check",0.5,0.588,0.544
F.2,F.2 Fiber Drawing,The system shall draw ZBLAN fibers from the heated preform at a consistent rate.,1.1.4 Draw Fiber from Preform,draw,"fiber, preform",1.0,0.486,0.743
F.2,F.2 Fiber Drawing,The system shall draw ZBLAN fibers from the heated preform at a consistent rate.,1.1.5 Cool/ Anneal Fiber,,fiber,0.5,0.517,0.508
F.2,F.2 Fiber Drawing,The system shall draw ZBLAN fibers from the heated preform at a consistent rate.,1.1.3.3 Hold Preform,hold,preform,0.5,0.431,0.465
F.1,F.1 Secondary Missions,The system shall support secondary missions without compromising primary ZBLAN fiber production objectives.,1.1.5 Cool/ Anneal Fiber,,fiber,0.5,0.554,0.527
C.9,C.9 End-of-Life Management,The system shall have a defined end-of-life plan that includes safe deorbiting or repurposing of at least 90% of its components.,3.3.3 Execute End-of-Life Deorbiting Procedures,execute,"end, life, deorbiting, procedure",0.375,0.681,0.528
C.8,C.8 Regulatory Compliance,The system shall adhere to international space treaties and regulations governing manufacturing in orbit.,4.2.5 Store Manufactured Product,manufacture,"store, product",0.5,0.405,0.453
C.8,C.8 Regulatory Compliance,The system shall adhere to international space treaties and regulations governing manufacturing in orbit.,7.1.1 Receive and Secure Modules in Orbit,"receive, secure","module, orbit",0.25,0.557,0.404
C.6,C.6 Environmental Impact,"The system shall comply with ISO 24113:2019 Space Debris Mitigation Requirements by preventing the generation of debris larger than 1 mm during its operational lifetime and ensuring end-of-life disposal via controlled re-entry within 25 years or transfer to a disposal orbit with a minimum perigee altitude of 2,000 km, as verified through orbital decay analysis.",7.1.4 Verify Hardware Installation,verify,"hardware, installation",0.5,0.513,0.506
C.6,C.6 Environmental Impact,"The system shall comply with ISO 24113:2019 Space Debris Mitigation Requirements by preventing the generation of debris larger than 1 mm during its operational lifetime and ensuring end-of-life disposal via controlled re-entry within 25 years or transfer to a disposal orbit with a minimum perigee altitude of 2,000 km, as verified through orbital decay analysis.",7.2.4 Verify Software Installation,verify,"software, installation",0.5,0.51,0.505
C.6,C.6 Environmental Impact,"The system shall comply with ISO 24113:2019 Space Debris Mitigation Requirements by preventing the generation of debris larger than 1 mm during its operational lifetime and ensuring end-of-life disposal via controlled re-entry within 25 years or transfer to a disposal orbit with a minimum perigee altitude of 2,000 km, as verified through orbital decay analysis.",2.3.3 Transfer Heat Away,transfer,heat,0.5,0.48,0.49
C.6,C.6 Environmental Impact,"The system shall comply with ISO 24113:2019 Space Debris Mitigation Requirements by preventing the generation of debris larger than 1 mm during its operational lifetime and ensuring end-of-life disposal via controlled re-entry within 25 years or transfer to a disposal orbit with a minimum perigee altitude of 2,000 km, as verified through orbital decay analysis.",3.3.3 Execute End-of-Life Deorbiting Procedures,execute,"end, life, deorbiting, procedure",0.25,0.698,0.474
C.6,C.6 Environmental Impact,"The system shall comply with ISO 24113:2019 Space Debris Mitigation Requirements by preventing the generation of debris larger than 1 mm during its operational lifetime and ensuring end-of-life disposal via controlled re-entry within 25 years or transfer to a disposal orbit with a minimum perigee altitude of 2,000 km, as verified through orbital decay analysis.",3.3.1 Monitor Orbital Environment for Debris,monitor,"environment, debris",0.25,0.66,0.455
C.5,C.5 Approved Materials,The system shall use only materials and processes approved for use in the space environment.,8.2.3 Control Attitude Using Reaction Torque,use,"control, attitude, reaction, torque",0.5,0.513,0.507
C.5,C.5 Approved Materials,The system shall use only materials and processes approved for use in the space environment.,2.3.1 Monitor Thermal Environment,monitor,environment,0.5,0.367,0.433
C.4,C.4 National Goals,"The system shall demonstrate compatibility with at least 90% of technical standards and objectives outlined in the latest published guidance from relevant government agencies (e.g., NASA's Exploration Goals), verified through compliance assessments and interface certifications.",7.1.4 Verify Hardware Installation,verify,"hardware, installation",0.5,0.46,0.48
C.4,C.4 National Goals,"The system shall demonstrate compatibility with at least 90% of technical standards and objectives outlined in the latest published guidance from relevant government agencies (e.g., NASA's Exploration Goals), verified through compliance assessments and interface certifications.",7.2.4 Verify Software Installation,verify,"software, installation",0.5,0.456,0.478
C.3,C.3 Power Budget,The system shall operate within the power budget allocated by the host space platform if it is being hosted,2.2.6 Manage Electrical Power,manage,power,0.5,0.457,0.478
C.3,C.3 Power Budget,The system shall operate within the power budget allocated by the host space platform if it is being hosted,2.2.5 Transmit Electrical Power,transmit,power,0.5,0.443,0.471
C.3,C.3 Power Budget,The system shall operate within the power budget allocated by the host space platform if it is being hosted,2.2.3 Distribute Power,distribute,power,0.5,0.398,0.449
C.2,C.2 Debris Mitigation,The system shall adhere to international space debris mitigation guidelines.,3.3.1 Monitor Orbital Environment for Debris,monitor,"environment, debris",0.25,0.578,0.414
C.1,C.1 Safety Compliance,The system shall comply with all relevant NASA safety standards for operation on crewed space platforms.,3.1.1 Monitor Safety Standards (Automated safety checks),monitor,"safety, standards, safety, check",0.25,0.571,0.411
