Requirement Name,Requirement Text,Requirement Verb,Requirement Noun Phrase,Activity Name,Similarity Score
O.10 Upgradable Technologies,"The system shall include modular hardware and software interfaces that support integration of at least three new manufacturing technologies or processes, as verified by simulated upgrades and functional tests during design validation.",include,system hardware software interface integration manufacturing technology process upgrade test design validation,7.2.4 Verify Software Installation,0.882
O.9 User-Friendly Interfaces,"The system shall be compatible with NASA's Space Network (SN) ground control equipment, including the Tracking and Data Relay Satellite System (TDRSS), achieving at least 99.5% data transmission success during simulated and operational communication tests under nominal and contingency scenarios.",include,system NASA Space Network SN ground control equipment Tracking Data Relay Satellite System TDRSS % data transmission success communication test contingency scenario,1.2.5 Transmit Data to Ground Control,0.891
O.9 User-Friendly Interfaces,"The system shall be compatible with NASA's Space Network (SN) ground control equipment, including the Tracking and Data Relay Satellite System (TDRSS), achieving at least 99.5% data transmission success during simulated and operational communication tests under nominal and contingency scenarios.",include,system NASA Space Network SN ground control equipment Tracking Data Relay Satellite System TDRSS % data transmission success communication test contingency scenario,7.1.4 Verify Hardware Installation,0.88
O.9 User-Friendly Interfaces,"The system shall be compatible with NASA's Space Network (SN) ground control equipment, including the Tracking and Data Relay Satellite System (TDRSS), achieving at least 99.5% data transmission success during simulated and operational communication tests under nominal and contingency scenarios.",include,system NASA Space Network SN ground control equipment Tracking Data Relay Satellite System TDRSS % data transmission success communication test contingency scenario,7.2.4 Verify Software Installation,0.88
O.8 Standardized Data Formats,"The system shall utilize standardized data formats and protocols for all manufacturing processes, system operations, and ground communications.",utilize,system datum format protocol manufacturing process system operation ground communication,4.1.3.1 Coordinate Automated Resource Transfer,0.823
O.8 Standardized Data Formats,"The system shall utilize standardized data formats and protocols for all manufacturing processes, system operations, and ground communications.",utilize,system datum format protocol manufacturing process system operation ground communication,7.1.4 Verify Hardware Installation,0.815
O.8 Standardized Data Formats,"The system shall utilize standardized data formats and protocols for all manufacturing processes, system operations, and ground communications.",utilize,system datum format protocol manufacturing process system operation ground communication,7.2.4 Verify Software Installation,0.815
O.7 Data Distribution,"The system shall support secure and efficient distribution of manufacturing data, telemetry, and product information between the orbital platform and ground stations, with data transmission reliability of at least 99.9% and a latency of no more than 500 milliseconds, as verified by communication link performance tests.",support,system distribution manufacturing datum telemetry product information platform ground station data transmission reliability % latency millisecond communication link performance test,2.2.5 Transmit Electrical Power,0.892
O.7 Data Distribution,"The system shall support secure and efficient distribution of manufacturing data, telemetry, and product information between the orbital platform and ground stations, with data transmission reliability of at least 99.9% and a latency of no more than 500 milliseconds, as verified by communication link performance tests.",support,system distribution manufacturing datum telemetry product information platform ground station data transmission reliability % latency millisecond communication link performance test,1.2.5 Transmit Data to Ground Control,0.889
O.7 Data Distribution,"The system shall support secure and efficient distribution of manufacturing data, telemetry, and product information between the orbital platform and ground stations, with data transmission reliability of at least 99.9% and a latency of no more than 500 milliseconds, as verified by communication link performance tests.",support,system distribution manufacturing datum telemetry product information platform ground station data transmission reliability % latency millisecond communication link performance test,7.1.5 Control Antenna Position,0.847
O.6 Environmental Survivability,"The system shall withstand the harsh space environment, including radiation, thermal cycling, and micrometeoroid impacts, without critical failure.",withstand,system space environment radiation cycling impact failure,2.1.5.2 Remote Monitoring of Repair Testing,0.913
O.6 Environmental Survivability,"The system shall withstand the harsh space environment, including radiation, thermal cycling, and micrometeoroid impacts, without critical failure.",withstand,system space environment radiation cycling impact failure,7.2.1 Prepare for Software Installation/Update,0.869
O.6 Environmental Survivability,"The system shall withstand the harsh space environment, including radiation, thermal cycling, and micrometeoroid impacts, without critical failure.",withstand,system space environment radiation cycling impact failure,7.1.2 Prepare for Hardware Installation,0.864
O.5 Operational Availability,The system shall maintain a minimum of 95% operational availability throughout its design life.,maintain,system minimum % availability design life,2.2.8 Store Electrical Energy,0.73
O.5 Operational Availability,The system shall maintain a minimum of 95% operational availability throughout its design life.,maintain,system minimum % availability design life,7.1.8 Support Platform Structure,0.727
O.5 Operational Availability,The system shall maintain a minimum of 95% operational availability throughout its design life.,maintain,system minimum % availability design life,6.1.3 Store Performance Data,0.725
O.5.1 Mean Time Between Failures (MTBF),The system shall achieve a Mean Time Between Failures (MTBF) of at least 500 hours.,achieve,system Mean Time Failures MTBF hour,3.3.3 Execute End-of-Life Deorbiting Procedures,0.656
O.5.1 Mean Time Between Failures (MTBF),The system shall achieve a Mean Time Between Failures (MTBF) of at least 500 hours.,achieve,system Mean Time Failures MTBF hour,1.2.1 Collect Real-Time Production Data,0.647
O.5.1 Mean Time Between Failures (MTBF),The system shall achieve a Mean Time Between Failures (MTBF) of at least 500 hours.,achieve,system Mean Time Failures MTBF hour,8.2.3 Control Attitude Using Reaction Torque,0.635
O.5.2 Mean Time To Repair (MTTR),"The system shall achieve a Mean Time To Repair (MTTR) of no more than 24 hours, considering the challenges of in-orbit servicing.",achieve,system Mean time Repair MTTR hour challenge orbit servicing,2.1.4.1 Initiate Autonomous Repairs (Remote or autonomous actions),0.791
O.5.2 Mean Time To Repair (MTTR),"The system shall achieve a Mean Time To Repair (MTTR) of no more than 24 hours, considering the challenges of in-orbit servicing.",achieve,system Mean time Repair MTTR hour challenge orbit servicing,2.1.4 Repair System,0.772
O.5.2 Mean Time To Repair (MTTR),"The system shall achieve a Mean Time To Repair (MTTR) of no more than 24 hours, considering the challenges of in-orbit servicing.",achieve,system Mean time Repair MTTR hour challenge orbit servicing,2.1.4.2 Coordinate Remote Repair Support (Ground-based intervention),0.742
O.5.2.1 Mean Time To Transport (MTTT),"The system shall achieve a Mean Time To Transport (MTTT) of no more than 12 hours for necessary repair components, considering orbital logistics.",achieve,system time Transport MTTT hour repair component logistic,2.1.5.2 Remote Monitoring of Repair Testing,0.846
O.5.2.1 Mean Time To Transport (MTTT),"The system shall achieve a Mean Time To Transport (MTTT) of no more than 12 hours for necessary repair components, considering orbital logistics.",achieve,system time Transport MTTT hour repair component logistic,2.1.4 Repair System,0.83
O.5.2.1 Mean Time To Transport (MTTT),"The system shall achieve a Mean Time To Transport (MTTT) of no more than 12 hours for necessary repair components, considering orbital logistics.",achieve,system time Transport MTTT hour repair component logistic,7.1.4 Verify Hardware Installation,0.807
O.5.2.2 Mean Time To Detect (MTTD),The system shall achieve a Mean Time To Detect (MTTD) of failures within 10 minutes.,achieve,system Mean time Detect MTTD failure minute,3.2.1 Detect Safety Hazards (Autonomous hazard detection),0.838
O.5.2.2 Mean Time To Detect (MTTD),The system shall achieve a Mean Time To Detect (MTTD) of failures within 10 minutes.,achieve,system Mean time Detect MTTD failure minute,3.1.1 Monitor Safety Standards (Automated safety checks),0.814
O.5.2.2 Mean Time To Detect (MTTD),The system shall achieve a Mean Time To Detect (MTTD) of failures within 10 minutes.,achieve,system Mean time Detect MTTD failure minute,2.1.3 Detect Faults,0.779
O.5.2.3 Mean Time To Diagnose (MTTDg),The system shall achieve a Mean Time To Diagnose (MTTDg) of no more than 30 minutes for identified failures.,achieve,system time diagnose mttdg minute failure,3.1.1 Monitor Safety Standards (Automated safety checks),0.844
O.5.2.3 Mean Time To Diagnose (MTTDg),The system shall achieve a Mean Time To Diagnose (MTTDg) of no more than 30 minutes for identified failures.,achieve,system time diagnose mttdg minute failure,3.2.1 Detect Safety Hazards (Autonomous hazard detection),0.798
O.5.2.3 Mean Time To Diagnose (MTTDg),The system shall achieve a Mean Time To Diagnose (MTTDg) of no more than 30 minutes for identified failures.,achieve,system time diagnose mttdg minute failure,3.2.3 Implement Safety Measures (Automated actions to mitigate risk),0.786
O.5.2.4 Mean Time To Isolate (MTTI),The system shall achieve a Mean Time To Isolate (MTTI) of no more than 15 minutes to isolate the affected system components.,achieve,system Mean time Isolate MTTI minute system component,2.1.5.2 Remote Monitoring of Repair Testing,0.835
O.5.2.4 Mean Time To Isolate (MTTI),The system shall achieve a Mean Time To Isolate (MTTI) of no more than 15 minutes to isolate the affected system components.,achieve,system Mean time Isolate MTTI minute system component,7.2.1 Prepare for Software Installation/Update,0.811
O.5.2.4 Mean Time To Isolate (MTTI),The system shall achieve a Mean Time To Isolate (MTTI) of no more than 15 minutes to isolate the affected system components.,achieve,system Mean time Isolate MTTI minute system component,7.1.4 Verify Hardware Installation,0.808
O.5.2.5 Mean Time To Access (MTTA),The system shall achieve a Mean Time To Access (MTTA) of no more than 2 hours to access the faulty components for repair in an orbital setting,achieve,system Mean time Access MTTA hour component repair setting,2.1.4 Repair System,0.8
O.5.2.5 Mean Time To Access (MTTA),The system shall achieve a Mean Time To Access (MTTA) of no more than 2 hours to access the faulty components for repair in an orbital setting,achieve,system Mean time Access MTTA hour component repair setting,2.1.5.2 Remote Monitoring of Repair Testing,0.786
O.5.2.5 Mean Time To Access (MTTA),The system shall achieve a Mean Time To Access (MTTA) of no more than 2 hours to access the faulty components for repair in an orbital setting,achieve,system Mean time Access MTTA hour component repair setting,4.2.4 Secure Docking Connection,0.784
O.5.2.6 Mean Time To Perform Repair (MTTpR),The system shall achieve a Mean Time To Perform Repair (MTTpR) of no more than 8 hours for standard repairs in orbit.,achieve,system time Repair mttpr hour repair orbit,2.1.4 Repair System,0.9
O.5.2.6 Mean Time To Perform Repair (MTTpR),The system shall achieve a Mean Time To Perform Repair (MTTpR) of no more than 8 hours for standard repairs in orbit.,achieve,system time Repair mttpr hour repair orbit,2.1.5.2 Remote Monitoring of Repair Testing,0.799
O.5.2.6 Mean Time To Perform Repair (MTTpR),The system shall achieve a Mean Time To Perform Repair (MTTpR) of no more than 8 hours for standard repairs in orbit.,achieve,system time Repair mttpr hour repair orbit,2.1.5 Test System After Repairs,0.787
O.5.2.7 Mean Time To Verify (MTTV),The system shall achieve a Mean Time To Verify (MTTV) of no more than 30 minutes to verify system functionality post-repair.,achieve,system time MTTV minute system functionality post - repair,2.1.4 Repair System,0.851
O.5.2.7 Mean Time To Verify (MTTV),The system shall achieve a Mean Time To Verify (MTTV) of no more than 30 minutes to verify system functionality post-repair.,achieve,system time MTTV minute system functionality post - repair,2.1.5.2 Remote Monitoring of Repair Testing,0.845
O.5.2.7 Mean Time To Verify (MTTV),The system shall achieve a Mean Time To Verify (MTTV) of no more than 30 minutes to verify system functionality post-repair.,achieve,system time MTTV minute system functionality post - repair,7.2.1 Prepare for Software Installation/Update,0.799
O.5.2.8 Mean Time To Re-Deploy (MTTRd),The system shall achieve a Mean Time To Re-Deploy (MTTRd) of no more than 1 hour to restore full operational capability post-repair.,achieve,system Mean time Deploy mttrd hour capability post - repair,2.1.5.1 Autonomous Post-Repair Testing,0.773
O.5.2.8 Mean Time To Re-Deploy (MTTRd),The system shall achieve a Mean Time To Re-Deploy (MTTRd) of no more than 1 hour to restore full operational capability post-repair.,achieve,system Mean time Deploy mttrd hour capability post - repair,2.1.4 Repair System,0.736
O.5.2.8 Mean Time To Re-Deploy (MTTRd),The system shall achieve a Mean Time To Re-Deploy (MTTRd) of no more than 1 hour to restore full operational capability post-repair.,achieve,system Mean time Deploy mttrd hour capability post - repair,2.1.4.2 Coordinate Remote Repair Support (Ground-based intervention),0.733
O.4 Command and Control,"The system shall provide secure and reliable command and control capabilities for all orbital manufacturing operations, with at least 99.9% command success rate and data integrity, as verified by operational and simulated mission scenarios.",provide,system command capability manufacturing operation % command success rate datum integrity mission scenario,2.3.4 Provide Local Heating,0.565
O.4 Command and Control,"The system shall provide secure and reliable command and control capabilities for all orbital manufacturing operations, with at least 99.9% command success rate and data integrity, as verified by operational and simulated mission scenarios.",provide,system command capability manufacturing operation % command success rate datum integrity mission scenario,7.1.7 Provide Structural Surface,0.523
O.3 Safe Return,The system shall return manufactured ZBLAN fibers to Earth safely and intact for commercial use.,return,system fiber Earth use,2.1.5.2 Remote Monitoring of Repair Testing,0.759
O.3 Safe Return,The system shall return manufactured ZBLAN fibers to Earth safely and intact for commercial use.,return,system fiber Earth use,8.2.3 Control Attitude Using Reaction Torque,0.758
O.3 Safe Return,The system shall return manufactured ZBLAN fibers to Earth safely and intact for commercial use.,return,system fiber Earth use,2.2.5 Transmit Electrical Power,0.746
O.2 Continuous Operation,The system shall be designed to operate continuously in the space environment for a minimum of 5 years without requiring physical human intervention.,design,system space environment minimum year intervention,2.1.5.2 Remote Monitoring of Repair Testing,0.899
O.2 Continuous Operation,The system shall be designed to operate continuously in the space environment for a minimum of 5 years without requiring physical human intervention.,design,system space environment minimum year intervention,7.2.1 Prepare for Software Installation/Update,0.887
O.2 Continuous Operation,The system shall be designed to operate continuously in the space environment for a minimum of 5 years without requiring physical human intervention.,design,system space environment minimum year intervention,7.1.4 Verify Hardware Installation,0.884
O.1 High-Quality Production,The system shall produce ZBLAN fibers with less than 1 crystallization defect per kilometer of fiber manufactured in microgravity,produce,system fiber crystallization defect kilometer fiber microgravity,1.1.7.1 Measure Fiber Diameter,0.756
O.1 High-Quality Production,The system shall produce ZBLAN fibers with less than 1 crystallization defect per kilometer of fiber manufactured in microgravity,produce,system fiber crystallization defect kilometer fiber microgravity,8.2.7 Regulate Propellant Flow,0.719
O.1 High-Quality Production,The system shall produce ZBLAN fibers with less than 1 crystallization defect per kilometer of fiber manufactured in microgravity,produce,system fiber crystallization defect kilometer fiber microgravity,1.1.5 Cool/ Anneal Fiber,0.718
I Interface,"The system shall interface with ground control, host platforms, cargo spacecraft, and existing space infrastructure for command, telemetry, power, thermal management, and logistics support, and provide user-friendly interfaces for both automated and human-assisted operations, ensuring compatibility with 95% of industry-standard equipment and protocols",interface,system ground control host platform cargo spacecraft space infrastructure command telemetry power management logistic support user interface human operation compatibility % industry equipment protocol,7.1.4 Verify Hardware Installation,0.879
I Interface,"The system shall interface with ground control, host platforms, cargo spacecraft, and existing space infrastructure for command, telemetry, power, thermal management, and logistics support, and provide user-friendly interfaces for both automated and human-assisted operations, ensuring compatibility with 95% of industry-standard equipment and protocols",interface,system ground control host platform cargo spacecraft space infrastructure command telemetry power management logistic support user interface human operation compatibility % industry equipment protocol,7.2.4 Verify Software Installation,0.879
I Interface,"The system shall interface with ground control, host platforms, cargo spacecraft, and existing space infrastructure for command, telemetry, power, thermal management, and logistics support, and provide user-friendly interfaces for both automated and human-assisted operations, ensuring compatibility with 95% of industry-standard equipment and protocols",interface,system ground control host platform cargo spacecraft space infrastructure command telemetry power management logistic support user interface human operation compatibility % industry equipment protocol,7.1.2 Prepare for Hardware Installation,0.867
I.11 Product Return Interface,The system shall interface with a secure product return capsule capable of safely transporting at least 50 km of produced ZBLAN fiber to Earth.,interface,system product return capsule km fiber Earth,7.1.8 Support Platform Structure,0.701
I.11 Product Return Interface,The system shall interface with a secure product return capsule capable of safely transporting at least 50 km of produced ZBLAN fiber to Earth.,interface,system product return capsule km fiber Earth,4.2.3 Prepare Fiber for Transport (Automated handling and packaging),0.67
I.11 Product Return Interface,The system shall interface with a secure product return capsule capable of safely transporting at least 50 km of produced ZBLAN fiber to Earth.,interface,system product return capsule km fiber Earth,2.1.5.2 Remote Monitoring of Repair Testing,0.668
I.10 Raw Material Interface,The system shall interface with standardized raw material containers to facilitate easy resupply and material changeout.,interface,system material container resupply material changeout,1.2.4 Generate Production Reports,0.747
I.10 Raw Material Interface,The system shall interface with standardized raw material containers to facilitate easy resupply and material changeout.,interface,system material container resupply material changeout,2.2.3 Distribute Power,0.732
I.10 Raw Material Interface,The system shall interface with standardized raw material containers to facilitate easy resupply and material changeout.,interface,system material container resupply material changeout,2.2.7 Rotate Solar Array,0.729
I.9 Maintenance Interface,"The system shall provide interfaces for maintenance activities, allowing for easy access to critical components.",provide,system interface maintenance activity access component,7.1.7 Provide Structural Surface,0.561
I.9 Maintenance Interface,"The system shall provide interfaces for maintenance activities, allowing for easy access to critical components.",provide,system interface maintenance activity access component,2.3.4 Provide Local Heating,0.547
I.8 Data Interface,The system shall interface with external data systems to allow for the exchange of operational data and analytics.,interface,system datum system exchange datum analytic,7.2.1 Prepare for Software Installation/Update,0.769
I.8 Data Interface,The system shall interface with external data systems to allow for the exchange of operational data and analytics.,interface,system datum system exchange datum analytic,7.1.4 Verify Hardware Installation,0.767
I.8 Data Interface,The system shall interface with external data systems to allow for the exchange of operational data and analytics.,interface,system datum system exchange datum analytic,7.2.4 Verify Software Installation,0.767
I.7 Human Interface,The system shall provide intuitive interfaces that allow trained personnel to perform necessary operations with less than 1 hour of specific task training.,provide,system interface personnel operation hour task training,7.1.7 Provide Structural Surface,0.55
I.7 Human Interface,The system shall provide intuitive interfaces that allow trained personnel to perform necessary operations with less than 1 hour of specific task training.,provide,system interface personnel operation hour task training,2.3.4 Provide Local Heating,0.549
I.6 Existing Infrastructure,"The system shall interface with existing space infrastructure for power, data, and other resources.",interface,system space infrastructure power datum resource,2.2.6 Manage Electrical Power,0.932
I.6 Existing Infrastructure,"The system shall interface with existing space infrastructure for power, data, and other resources.",interface,system space infrastructure power datum resource,2.2.9 Switch Electrical Power,0.932
I.6 Existing Infrastructure,"The system shall interface with existing space infrastructure for power, data, and other resources.",interface,system space infrastructure power datum resource,7.1.2 Prepare for Hardware Installation,0.913
I.5 Launch Vehicle Compatibility,"The system shall be compatible with the SpaceX Falcon 9 and United Launch Alliance Atlas V launch vehicles, as verified through review of the corresponding Interface Control Documents (ICDs) for each vehicle.",verify,system SpaceX Falcon United Launch Alliance Atlas V launch vehicle review corresponding Interface Control Documents icd vehicle,2.2.4 Transmit Launch Vehicle Power,0.751
I.5 Launch Vehicle Compatibility,"The system shall be compatible with the SpaceX Falcon 9 and United Launch Alliance Atlas V launch vehicles, as verified through review of the corresponding Interface Control Documents (ICDs) for each vehicle.",verify,system SpaceX Falcon United Launch Alliance Atlas V launch vehicle review corresponding Interface Control Documents icd vehicle,7.2.1 Prepare for Software Installation/Update,0.721
I.5 Launch Vehicle Compatibility,"The system shall be compatible with the SpaceX Falcon 9 and United Launch Alliance Atlas V launch vehicles, as verified through review of the corresponding Interface Control Documents (ICDs) for each vehicle.",verify,system SpaceX Falcon United Launch Alliance Atlas V launch vehicle review corresponding Interface Control Documents icd vehicle,2.1.5.2 Remote Monitoring of Repair Testing,0.702
I.4 Resupply and Retrieval,The system shall accommodate resupply of raw materials and retrieval of finished products via standard cargo spacecraft.,accommodate,system resupply material retrieval product cargo spacecraft,7.1.1 Receive and Secure Modules in Orbit,0.797
I.4 Resupply and Retrieval,The system shall accommodate resupply of raw materials and retrieval of finished products via standard cargo spacecraft.,accommodate,system resupply material retrieval product cargo spacecraft,3.3.1 Monitor Orbital Environment for Debris,0.767
I.4 Resupply and Retrieval,The system shall accommodate resupply of raw materials and retrieval of finished products via standard cargo spacecraft.,accommodate,system resupply material retrieval product cargo spacecraft,7.1.4 Verify Hardware Installation,0.725
I.3 Infrastructure Interface,"The system shall interface with the host space station or platform for power, thermal management, and structural support during test flights or as needed for repair and operational support on orbit",interface,system host space station platform power management support test flight repair support orbit,7.1.8 Support Platform Structure,0.886
I.3 Infrastructure Interface,"The system shall interface with the host space station or platform for power, thermal management, and structural support during test flights or as needed for repair and operational support on orbit",interface,system host space station platform power management support test flight repair support orbit,7.1.1 Receive and Secure Modules in Orbit,0.85
I.3 Infrastructure Interface,"The system shall interface with the host space station or platform for power, thermal management, and structural support during test flights or as needed for repair and operational support on orbit",interface,system host space station platform power management support test flight repair support orbit,2.1.5.2 Remote Monitoring of Repair Testing,0.836
I.2 Telemetry Transmission,The system shall transmit manufacturing telemetry and product quality data to Earth in real-time.,transmit,system manufacturing telemetry product quality datum Earth time,1.2.5.3 Transmit Low Rate Signal,0.539
I.1 Command Reception,The system shall receive commands and software updates from ground control stations.,receive,system command software update ground control station,7.1.1 Receive and Secure Modules in Orbit,0.822
I.1 Command Reception,The system shall receive commands and software updates from ground control stations.,receive,system command software update ground control station,5.2.1 Receive Remote Commands,0.785
F Functional,"The system shall demonstrate the capability to perform all functions required for ZBLAN fiber production in microgravity, including preform heating, fiber drawing, real-time monitoring and adjustment, packaging, automated inspection, waste management, support for secondary missions and scientific experiments, process optimization, material recycling, and data security, as verified through end-to-end operational testing.",demonstrate,system capability function ZBLAN fiber production microgravity preform heating fiber drawing time monitoring adjustment packaging inspection waste management support mission experiment process optimization material recycling datum security end end testing,8.2.3 Control Attitude Using Reaction Torque,0.847
F Functional,"The system shall demonstrate the capability to perform all functions required for ZBLAN fiber production in microgravity, including preform heating, fiber drawing, real-time monitoring and adjustment, packaging, automated inspection, waste management, support for secondary missions and scientific experiments, process optimization, material recycling, and data security, as verified through end-to-end operational testing.",demonstrate,system capability function ZBLAN fiber production microgravity preform heating fiber drawing time monitoring adjustment packaging inspection waste management support mission experiment process optimization material recycling datum security end end testing,1.2.2 Analyze Production Efficiency,0.834
F Functional,"The system shall demonstrate the capability to perform all functions required for ZBLAN fiber production in microgravity, including preform heating, fiber drawing, real-time monitoring and adjustment, packaging, automated inspection, waste management, support for secondary missions and scientific experiments, process optimization, material recycling, and data security, as verified through end-to-end operational testing.",demonstrate,system capability function ZBLAN fiber production microgravity preform heating fiber drawing time monitoring adjustment packaging inspection waste management support mission experiment process optimization material recycling datum security end end testing,2.1.5.2 Remote Monitoring of Repair Testing,0.814
F.21 Data Analytics,The system shall incorporate advanced data analytics capabilities to predict maintenance needs and optimize manufacturing processes based on historical performance data.,incorporate,system datum analytic capability maintenance need manufacturing process performance datum,2.2.6 Manage Electrical Power,0.832
F.21 Data Analytics,The system shall incorporate advanced data analytics capabilities to predict maintenance needs and optimize manufacturing processes based on historical performance data.,incorporate,system datum analytic capability maintenance need manufacturing process performance datum,2.2.9 Switch Electrical Power,0.832
F.21 Data Analytics,The system shall incorporate advanced data analytics capabilities to predict maintenance needs and optimize manufacturing processes based on historical performance data.,incorporate,system datum analytic capability maintenance need manufacturing process performance datum,2.1.5.2 Remote Monitoring of Repair Testing,0.827
F.20 Autonomous Decision Making,The system shall make autonomous decisions for process adjustments within 2 seconds of detecting anomalies in manufacturing conditions.,make,system decision process adjustment second anomaly manufacturing condition,2.1.5.2 Remote Monitoring of Repair Testing,0.772
F.20 Autonomous Decision Making,The system shall make autonomous decisions for process adjustments within 2 seconds of detecting anomalies in manufacturing conditions.,make,system decision process adjustment second anomaly manufacturing condition,1.2.1 Collect Real-Time Production Data,0.772
F.20 Autonomous Decision Making,The system shall make autonomous decisions for process adjustments within 2 seconds of detecting anomalies in manufacturing conditions.,make,system decision process adjustment second anomaly manufacturing condition,1.3.3 Adjust Manufacturing Parameters for Off-Nominal Conditions,0.77
F.19 Real-Time Data Transmission,The system shall transmit quality control data to Earth in real-time with a latency of no more than 1 second.,transmit,system quality control datum Earth time latency,1.2.5.3 Transmit Low Rate Signal,0.591
F.18 Quality Control Redundancy,The system shall incorporate redundant quality control sensors with automatic failover capabilities to ensure continuous monitoring in case of sensor failure.,incorporate,system quality control sensor failover capability monitoring case sensor failure,2.1.5.2 Remote Monitoring of Repair Testing,0.874
F.18 Quality Control Redundancy,The system shall incorporate redundant quality control sensors with automatic failover capabilities to ensure continuous monitoring in case of sensor failure.,incorporate,system quality control sensor failover capability monitoring case sensor failure,7.1.4 Verify Hardware Installation,0.867
F.18 Quality Control Redundancy,The system shall incorporate redundant quality control sensors with automatic failover capabilities to ensure continuous monitoring in case of sensor failure.,incorporate,system quality control sensor failover capability monitoring case sensor failure,7.2.4 Verify Software Installation,0.867
F.17 In-situ Annealing,The system shall incorporate in-situ annealing capabilities to reduce internal stresses in the produced ZBLAN fibers.,incorporate,system situ annealing capability stress fiber,2.3.3 Transfer Heat Away,0.744
F.17 In-situ Annealing,The system shall incorporate in-situ annealing capabilities to reduce internal stresses in the produced ZBLAN fibers.,incorporate,system situ annealing capability stress fiber,1.1.7.1 Measure Fiber Diameter,0.743
F.17 In-situ Annealing,The system shall incorporate in-situ annealing capabilities to reduce internal stresses in the produced ZBLAN fibers.,incorporate,system situ annealing capability stress fiber,2.4.3 Adjust Operations for Radiation Protection,0.731
F.16 Fiber Diameter Control,The system shall control the diameter of the produced ZBLAN fiber within ±1% of the target diameter throughout the drawing process.,control,system diameter ZBLAN fiber % target diameter drawing process,1.1.7.1 Measure Fiber Diameter,0.82
F.16 Fiber Diameter Control,The system shall control the diameter of the produced ZBLAN fiber within ±1% of the target diameter throughout the drawing process.,control,system diameter ZBLAN fiber % target diameter drawing process,7.1.7 Provide Structural Surface,0.8
F.16 Fiber Diameter Control,The system shall control the diameter of the produced ZBLAN fiber within ±1% of the target diameter throughout the drawing process.,control,system diameter ZBLAN fiber % target diameter drawing process,2.3.3 Transfer Heat Away,0.755
F.15 Preform Alignment,"The system shall maintain precise alignment of the ZBLAN preform during the fiber drawing process, with a tolerance of ±0.1 mm.",maintain,system alignment preform fiber drawing process tolerance ±0.1,8.2.3 Control Attitude Using Reaction Torque,0.752
F.15 Preform Alignment,"The system shall maintain precise alignment of the ZBLAN preform during the fiber drawing process, with a tolerance of ±0.1 mm.",maintain,system alignment preform fiber drawing process tolerance ±0.1,4.1.5 Transfer Preform to Production,0.701
F.15 Preform Alignment,"The system shall maintain precise alignment of the ZBLAN preform during the fiber drawing process, with a tolerance of ±0.1 mm.",maintain,system alignment preform fiber drawing process tolerance ±0.1,4.2.3 Prepare Fiber for Transport (Automated handling and packaging),0.692
F.14 Remote Monitoring,"The system shall provide remote monitoring capabilities with a data refresh rate of no more than 1 second, allowing ground-based operators to oversee system operations in real-time, with at least 99% uptime",provide,system monitoring capability data refresh rate ground operator system operation time % uptime,2.3.4 Provide Local Heating,0.585
F.14 Remote Monitoring,"The system shall provide remote monitoring capabilities with a data refresh rate of no more than 1 second, allowing ground-based operators to oversee system operations in real-time, with at least 99% uptime",provide,system monitoring capability data refresh rate ground operator system operation time % uptime,7.1.7 Provide Structural Surface,0.579
F.13 Automated Inspection,The system shall perform automated inspections of manufactured products to ensure compliance with quality standards.,perform,system inspection product compliance quality standard,2.1.1 Inspect System,0.886
F.13 Automated Inspection,The system shall perform automated inspections of manufactured products to ensure compliance with quality standards.,perform,system inspection product compliance quality standard,2.1.5.2 Remote Monitoring of Repair Testing,0.814
F.13 Automated Inspection,The system shall perform automated inspections of manufactured products to ensure compliance with quality standards.,perform,system inspection product compliance quality standard,7.1.4 Verify Hardware Installation,0.804
F.12 Process Optimization,The system shall implement process optimization algorithms that improve manufacturing efficiency by at least 15% and reduce product defects to less than 2% of total production,implement,system process optimization algorithm manufacturing efficiency % product defect % production,1.2.2 Analyze Production Efficiency,0.812
F.12 Process Optimization,The system shall implement process optimization algorithms that improve manufacturing efficiency by at least 15% and reduce product defects to less than 2% of total production,implement,system process optimization algorithm manufacturing efficiency % product defect % production,2.2.6 Manage Electrical Power,0.795
F.12 Process Optimization,The system shall implement process optimization algorithms that improve manufacturing efficiency by at least 15% and reduce product defects to less than 2% of total production,implement,system process optimization algorithm manufacturing efficiency % product defect % production,2.2.9 Switch Electrical Power,0.795
F.11 Emergency Procedures,The system shall have automated emergency shutdown and safing procedures that can be initiated within 60 seconds of detecting a critical anomaly.,automate,system emergency shutdown procedure second anomaly,4.2.3 Prepare Fiber for Transport (Automated handling and packaging),0.633
F.11 Emergency Procedures,The system shall have automated emergency shutdown and safing procedures that can be initiated within 60 seconds of detecting a critical anomaly.,automate,system emergency shutdown procedure second anomaly,3.1.2 Report Safety Incidents (Automated logging and reporting),0.618
F.11 Emergency Procedures,The system shall have automated emergency shutdown and safing procedures that can be initiated within 60 seconds of detecting a critical anomaly.,automate,system emergency shutdown procedure second anomaly,4.1.1 Track Resources (Automated tracking),0.48
F.10 Data Security,"The system shall implement encryption and secure data transmission protocols for all data exchanges between the orbital platform and ground stations, meeting or exceeding current industry standards for data security.",implement,system encryption data transmission protocol datum exchange platform ground station industry standard datum security,1.2.5 Transmit Data to Ground Control,0.866
